batch_birdid!,A_firstisomidtimereltokill,A_lastnotisomidtimereltokill,A_firstf50lemidtimereltokill,A_firstf50leptotgethreshmidtimerel,A_lastnotf50lemidtimereltokill,A_lastnotf50leptotgethreshmidtimer,B_firstisomidtimereltokill,B_lastnotisomidtimereltokill,B_firstf50lemidtimereltokill,B_firstf50leptotgethreshmidtimerel,B_lastnotf50lemidtimereltokill,B_lastnotf50leptotgethreshmidtimer,batch!,birdtype!,birdagegroup!,block!,pen!,killweight,killagewks,device!,testorder,flatlinefromtracetimereltokill,movementceasetimereltokill,skinbroken!,ext_bl!,subc_ht!,dis!,dislevel!,vertdam!,neckgap!,carteries!,cveins!,neckmuscle!,spinalcord!,skullpenloc!,l_forebrain!,r_forebrain!,cerebellum!,midbrain!,brainstem!,in_bc_ht!,failedattempt!,dev_success!,kill_success!,maxmax,maxmaxJT,maxmaxPUP,maxmaxNIC,maxmaxRB
1_orange_254,,28,10,10,28,28,,28,1,1,,,1,broiler,adult,2,14,2.89,6.5,MZIN,13,,,y,y,y,,,,,,,,,lb,n,n,n,n,n,y,0,n,n,195,0,0,0,0
1_orange_42,54,48,8,8,48,48,54,48,8,8,,,1,broiler,adult,4,19,2.97,6.5,CONTROL,36,141,210,n,n,y,y,c0-c1,n,1,0,y,y,y,,,,,,,,0,n,y,45,45,15,0,0
1_orange_43,80,54,4,4,50,50,80,54,1,1,,,1,broiler,adult,4,20,2.81,6.5,CONTROL,40,186,240,n,n,y,y,c0-c1,n,1.5,0,y,y,y,,,,,,,,0,n,y,75,30,0,0,0
1_orange_44,50,48,4,4,48,48,50,48,4,4,30,30,1,broiler,adult,4,18,2.96,6.5,CONTROL,32,66,105,n,n,y,y,c0-c1,,4,2,y,y,y,,,,,,,,0,y,y,105,30,90,0,0
1_orange_45,56,54,3,3,52,52,56,54,3,3,8,8,1,broiler,adult,3,17,3.09,6.5,MARM,28,156,210,y,y,y,,,,,,,,,cb,n,n,y,n,y,y,0,y,y,90,15,15,30,30
1_orange_46,12,,,,,,12,,,,,,1,broiler,adult,2,15,2.66,6.5,MZIN,17,,,y,y,y,,,,,,,,,lm,y,n,n,y,n,y,0,n,n,120,0,60,0,0
1_orange_47,44,42,20,20,40,40,44,42,1,1,32,32,1,broiler,adult,3,16,2.54,6.5,MARM,24,126,165,y,y,y,,,,,,,,,cn,n,n,n,n,y,y,0,y,y,150,15,60,15,15
1_orange_48,185,,,,,,185,,,,,,1,broiler,adult,1,13,2.73,6.5,NMCD,9,,90,n,n,y,y,c0-c1,n,6,2,y,y,y,,,,,,,,0,y,y,120,0,30,60,60
1_orange_50,,,,,,,,,,,,,1,broiler,adult,1,12,3.15,6.5,NMCD,5,,75,n,n,y,y,c0-c1,n,4,2,y,y,y,,,,,,,,0,y,y,45,0,0,0,0
1_orange_51,8,6,6,6,,,8,6,6,6,,,1,broiler,adult,1,11,2.52,6.5,NMCD,1,31,195,y,y,y,y,c1-c2,n,5,2,y,y,y,,,,,,,,0,n,y,180,15,60,0,0
